,Unnamed: 0,game_id,player_id,civilization,won,victory_type,score,cities,population,territory,gold,gold_per_turn,happiness_percentage,science_per_turn,culture_per_turn,faith_per_turn,tourism_per_turn,technologies,chosen_ancient_policy,predicted_ancient_policy
0,0,003aaf62-b887-4d33-9984-24b1ae78b949,1,The Maya,False,Domination,95,1,5,14,56,7.0,100,7,5,3,0,3,Tradition,Authority
1,1,003aaf62-b887-4d33-9984-24b1ae78b949,2,Greece,False,Domination,109,1,8,13,82,6.0,100,8,8,0,0,4,Tradition,Tradition
2,2,003aaf62-b887-4d33-9984-24b1ae78b949,3,Denmark,False,Domination,106,1,6,13,28,4.0,100,8,3,2,0,5,Authority,Tradition
3,3,003aaf62-b887-4d33-9984-24b1ae78b949,4,Persia,True,Domination,93,1,4,9,75,4.0,100,7,3,0,0,4,Authority,Authority
4,4,009ef1a8-4c60-4056-9e24-e0b77d945416,1,Spain,False,Domination,98,1,5,9,87,7.0,100,7,3,3,0,5,Authority,Authority
5,5,009ef1a8-4c60-4056-9e24-e0b77d945416,2,Japan,True,Domination,102,1,3,13,79,2.0,100,7,3,2,0,5,Authority,Authority
6,6,009ef1a8-4c60-4056-9e24-e0b77d945416,3,The Huns,False,Domination,97,1,5,13,8,4.0,100,7,3,2,0,4,Authority,Authority
7,7,009ef1a8-4c60-4056-9e24-e0b77d945416,4,China,False,Domination,101,1,6,9,22,6.0,100,8,3,0,0,5,Progress,Progress
8,8,00f83758-80b6-48ed-b96a-bf81d1cac8e8,1,Sweden,True,Domination,106,1,6,13,25,6.0,91,8,4,0,0,5,Authority,Tradition
9,9,00f83758-80b6-48ed-b96a-bf81d1cac8e8,2,India,False,Domination,94,1,4,17,6,5.0,100,7,3,4,0,3,Progress,Authority
10,10,00f83758-80b6-48ed-b96a-bf81d1cac8e8,3,Portugal,False,Domination,99,1,5,9,51,4.0,100,7,5,0,0,5,Tradition,Tradition
11,11,00f83758-80b6-48ed-b96a-bf81d1cac8e8,4,Arabia,False,Domination,87,1,6,9,49,7.0,100,8,6,2,0,3,Tradition,Progress
12,12,01422ba7-4993-4394-8345-df7adf8fc786,1,England,False,Science,99,1,6,13,75,5.0,100,8,3,0,0,4,Authority,Tradition
13,13,01422ba7-4993-4394-8345-df7adf8fc786,2,Denmark,False,Science,105,1,6,13,38,8.0,83,8,3,0,0,5,Authority,Tradition
14,14,01422ba7-4993-4394-8345-df7adf8fc786,3,The Celts,True,Science,90,1,4,9,61,7.0,100,7,3,0,0,4,Progress,Authority
15,15,01422ba7-4993-4394-8345-df7adf8fc786,4,Spain,False,Science,87,1,4,9,8,5.0,100,7,3,4,0,3,Authority,Authority
16,16,0164b886-f67a-46ac-b949-17d43e4d00ef,1,The Maya,False,Cultural,92,1,6,14,13,4.0,100,8,6,2,0,3,Tradition,Authority
17,17,0164b886-f67a-46ac-b949-17d43e4d00ef,2,Babylon,False,Cultural,99,1,7,9,35,7.0,100,8,6,2,0,4,Tradition,Authority
18,18,0164b886-f67a-46ac-b949-17d43e4d00ef,3,Morocco,True,Cultural,96,1,5,9,20,6.0,100,7,5,2,0,4,Tradition,Authority
19,19,0164b886-f67a-46ac-b949-17d43e4d00ef,4,Venice,False,Cultural,96,1,6,13,61,5.0,100,8,6,2,0,3,Tradition,Tradition
20,20,026686ae-c5a8-4f7b-96ec-c2416cd85273,1,Arabia,True,Cultural,90,1,3,9,13,5.0,100,7,3,2,0,4,Progress,Progress
21,21,026686ae-c5a8-4f7b-96ec-c2416cd85273,2,Greece,False,Cultural,113,1,8,21,86,7.0,87,8,7,0,0,4,Tradition,Authority
22,22,026686ae-c5a8-4f7b-96ec-c2416cd85273,3,Carthage,False,Cultural,89,1,4,9,35,12.0,100,7,3,0,0,4,Progress,Authority
23,23,026686ae-c5a8-4f7b-96ec-c2416cd85273,4,France,False,Cultural,105,1,5,13,56,7.0,100,7,3,2,0,5,Authority,Authority
24,24,02ec9f03-609f-40b9-af76-792341e8f7bb,1,Sweden,False,Cultural,96,1,5,9,23,5.0,100,7,3,2,0,4,Authority,Tradition
25,25,02ec9f03-609f-40b9-af76-792341e8f7bb,2,Korea,False,Cultural,102,1,7,13,72,5.0,92,8,6,2,0,4,Tradition,Tradition
26,26,02ec9f03-609f-40b9-af76-792341e8f7bb,3,Brazil,False,Cultural,97,1,7,9,68,6.0,92,8,6,0,0,4,Tradition,Tradition
27,27,02ec9f03-609f-40b9-af76-792341e8f7bb,4,The Netherlands,True,Cultural,101,1,5,13,35,7.0,100,7,8,2,0,4,Tradition,Progress
28,28,0473ebdf-b62c-4580-bb3c-f4fd452813ae,1,The Iroquois,False,Cultural,96,1,5,9,46,5.0,100,7,3,3,0,4,Authority,Authority
29,29,0473ebdf-b62c-4580-bb3c-f4fd452813ae,2,Portugal,False,Cultural,94,1,4,13,13,6.0,100,7,3,2,0,4,Progress,Authority
30,30,0473ebdf-b62c-4580-bb3c-f4fd452813ae,3,Ethiopia,True,Cultural,93,1,5,9,81,4.0,100,8,5,6,0,4,Tradition,Authority
31,31,0473ebdf-b62c-4580-bb3c-f4fd452813ae,4,Carthage,False,Cultural,93,1,5,9,35,8.0,100,7,3,0,0,4,Progress,Authority
32,32,0499524c-a311-407c-b122-4536c0770e85,1,Ethiopia,False,Cultural,98,1,4,13,19,4.0,100,8,3,2,0,4,Progress,Authority
